links,titles,pubdates,content,html_file_names,file_status,file_size,sent_to_archive
http://acftu.workercn.cn/34165/202106/21/210621101137924.shtml,新疆工会干部开展体验式调研零距离倾听“八大群体”呼声,2021-06-21--02-48-45,由于担心出现差错，陈文海在“同事”康小刚的协助下扫码核对客户信息，逐一拨打电话，派送快递。 曹宝荣和陈文海并非真正的快递小哥，而是新疆<b>维吾尔</b>&nbsp;...,新疆工会干部开展体验式调研零距离倾听“八---2021-06-21--02-48-45.html,1,3635,http://web.archive.org/web/20210622053521/http://acftu.workercn.cn/34165/202106/21/210621101137924.shtml
http://www.greenchina.tv/news-47415.xhtml,新疆加快推进林长制,2021-06-21--01-07-30,全面推行林长制工作以来，新疆<b>维吾尔</b>自治区各级党委、政府高度重视，统筹安排，各地州(市)积极探索符合本地区森林草原资源保护特点的工作方式和&nbsp;...,新疆加快推进林长制---2021-06-21--01-07-30.html,1,658,http://web.archive.org/web/20210623050019/http://www.greenchina.tv/news-47415.xhtml
https://www.dwnews.com/%E4%B8%AD%E5%9B%BD/60247141/%E6%BE%84%E6%B8%85%E8%A5%BF%E6%96%B9%E4%B8%8D%E5%AE%9E%E6%8C%87%E6%8E%A7%E4%B8%AD%E5%9B%BD%E5%AE%98%E5%AA%92%E9%82%80%E6%98%8E%E6%98%9F%E9%9B%86%E4%BD%93%E5%AE%A3%E4%BC%A0%E6%96%B0%E7%96%86%E5%9B%BE,澄清西方不实指控中国官媒邀明星集体宣传新疆[图],2021-06-21--00-56-15,新疆<b>维吾尔</b>自治区政府新闻发言人徐贵相表示，所谓“种族灭绝”是一个世纪谎言，也是人类历史上最大的诬陷案。 徐贵相在涉疆问题新闻发布会上还表示，&nbsp;...,澄清西方不实指控中国官媒邀明星集体宣传新---2021-06-21--00-56-15.html,1,6739,http://web.archive.org/web/20210623050051/https://www.dwnews.com/%E4%B8%AD%E5%9B%BD/60247141/%E6%BE%84%E6%B8%85%E8%A5%BF%E6%96%B9%E4%B8%8D%E5%AE%9E%E6%8C%87%E6%8E%A7%E4%B8%AD%E5%9B%BD%E5%AE%98%E5%AA%92%E9%82%80%E6%98%8E%E6%98%9F%E9%9B%86%E4%BD%93%E5%AE%A3%E4%BC%A0%E6%96%B0%E7%96%86%E5%9B%BE
http://www.qhxzzb.com/P/C/223067.htm,【新闻直播间】北京涉疆问题新闻发布会揭批“维吾尔特别法庭”涉疆谎言】-青河县党建网,2021-06-20--23-06-05,【新闻直播间】北京涉疆问题新闻发布会揭批“<b>维吾尔</b>特别法庭”涉疆谎言】. 日期：2021-06-19. 来源：央视音影. 【字体：大中小】. 责任编辑：青河县.,【新闻直播间】北京涉疆问题新闻发布会揭批---2021-06-20--23-06-05.html,1,8684,https://web.archive.org/web/20210623050152/http://www.qhxzzb.com/P/C/223067.htm
https://www.huatu.com/z/dxxxcx/xj.html,新疆高校名单—高考频道—华图教育,2021-06-20--22-46-12,"3, 新疆农业大学, 4165010758, 新疆<b>维吾尔</b>自治区, 乌鲁木齐市, 本科. 4, 石河子大学, 4165010759, 新疆生产建设兵团, 石河子市, 本科. 5, 新疆医科大学&nbsp;...",新疆高校名单—高考频道—华图教育---2021-06-20--22-46-12.html,1,787,http://web.archive.org/web/20210622051346/https://www.huatu.com/z/dxxxcx/xj.html
https://baike.baidu.com/item/%E5%AE%8B%E9%AB%98%E5%AE%97%E8%B5%B5%E6%9E%84/57379588,宋高宗赵构- 2007年喀什维吾尔文出版社,2021-06-20--22-09-03,《宋高宗赵构》是喀什<b>维吾尔</b>文出版社；新疆青少年出版社出版的图书，作者是北京未来新世纪教育科学发展中心编...,宋高宗赵构- 2007年喀什维吾尔<b---2021-06-20--22-09-03.html,1,,https://web.archive.org/web/20210623070136/https://baike.baidu.com/item/%E5%AE%8B%E9%AB%98%E5%AE%97%E8%B5%B5%E6%9E%84/57379588
http://www.xjnj.gov.cn/html/web/zljd/jiandingjianyan/index.html,新疆农机网,2021-06-20--21-44-57,新疆<b>维吾尔</b>自治区农牧业机械产品质量监督管理站关于农业机械试验鉴定申报进驻新疆政务服务网有关工作的通知 2021-06-11. 质监站党支部参观“党旗映&nbsp;...,新疆农机网---2021-06-20--21-44-57.html,1,4930,http://web.archive.org/web/20210622051345/http://www.xjnj.gov.cn/html/web/zljd/jiandingjianyan/index.html
https://finance.sina.com.cn/tech/2021-06-21/doc-ikqcfnca2203032.shtml,舞剧《五星出东方》首演,2021-06-20--20-10-56,6月19日，由北京市委宣传部、新疆<b>维吾尔</b>自治区党委宣传部联合出品的舞剧《五星出东方》在北京成功首演。该剧生动诠释了各族人民“像石榴籽一样紧&nbsp;...,舞剧《五星出东方》首演---2021-06-20--20-10-56.html,1,6033,http://web.archive.org/web/20210623060026/https://finance.sina.com.cn/tech/2021-06-21/doc-ikqcfnca2203032.shtml
http://jxjyxuexi.chinaacc.com/xinjiang/zizhiqu//CourseIntro.aspx?StudyID=5847&CourseID=3673&CourseVerify=acc1210110,新疆维吾尔自治区会计人员继续教育网上培训,2021-06-20--17-17-15,本课程以专题形式分别从党的十八大以来党领导人民取得历史性伟大成就、新时代中国特色社会主义事业的使命和战略定位、新时代中国特色社会主义&nbsp;...,新疆维吾尔自治区会计人员继续教育---2021-06-20--17-17-15.html,0,4,http://web.archive.org/web/20210622055322/http://jxjyxuexi.chinaacc.com/xinjiang/zizhiqu//CourseIntro.aspx?StudyID=5847&CourseID=3673&CourseVerify=acc1210110
http://www.ccgp-xinjiang.gov.cn/ZcyAnnouncement/ZcyAnnouncement3/ZcyAnnouncement3005/LaiWQOmzlG7F14weeDKjuw==.html,新疆方通招标有限责任公司关于莎车县维吾尔医医院中草药制剂中心设施设备采购项目的更正公告,2021-06-20--16-35-41,四、对本次采购提出询问，请按以下方式联系。 1.采购人信息. 名称： 莎车县<b>维吾尔</b>医医院. 地址：&nbsp;...,新疆方通招标有限责任公司关于莎车县维吾尔---2021-06-20--16-35-41.html,1,28777,https://web.archive.org/web/20210607091947/https://sitecdn.zcycdn.com/official-site-web-front/styles/vendor-f8b9d50d0a.css
http://www.91zlkp.com/enterprise_31_0_3_7.html,新疆维吾尔自治区电气工程师一级造价工程-建筑兼职招聘网,2021-06-20--14-14-58,... 河南省 湖北省 湖南省 广东省 广西壮族自治区 海南省 重庆市 四川省 贵州省 云南省 西藏自治区 陕西省 甘肃省 青海省 宁夏回族自治区 新疆<b>维吾尔</b>自治区.,新疆维吾尔自治区电气工程师一级造---2021-06-20--14-14-58.html,1,18,http://web.archive.org/web/20210622055409/http://www.91zlkp.com/enterprise_31_0_3_7.html
http://202.107.204.217/kcms/detail/detail.aspx?filename=SSQS201506011&dbcode=CJFX&dbname=,精准扶贫—新疆维吾尔自治区扶贫实践与创新- 中国党建期刊文献总库,2021-06-20--13-48-29,"20世纪70年代末期,新疆农村与全国同步启动扶贫工作。在长期的扶贫实践中,新疆<b>维吾尔</b>自治区初步形成了&quot;五个精准&quot;的扶贫体系,新疆的扶贫开发取得了巨大&nbsp;...",精准扶贫—新疆维吾尔自治区扶贫实---2021-06-20--13-48-29.html,0,0,http://web.archive.org/web/20210622055427/http://202.107.204.217/kcms/detail/detail.aspx?filename=SSQS201506011&dbcode=CJFX&dbname=
https://www.0991la.com/info/32057.html,新疆维吾尔自治区第44场涉疆问题新闻发布会实录- 乌鲁木齐都市网,2021-06-20--13-33-08,新疆<b>维吾尔</b>木卡姆艺术、玛纳斯、麦西热甫列入联合国教科文组织非遗名录。一大批印证中华文化历史性、民族性、艺术性、时代性的优秀传统文化得到&nbsp;...,新疆维吾尔自治区第44场涉疆问题---2021-06-20--13-33-08.html,1,44,http://web.archive.org/web/20210623060140/https://www.0991la.com/info/32057.html
https://www.lawfaq.cn/lawsite/list-20-91-16015-1.html,新疆维吾尔自治区省直辖行政单位信访局-法律网站,2021-06-20--11-49-48,"法律FAQ（LawFAQ.cn）信访栏目收集整理了各省市信访办公室,信访局,举报投诉等信访法律网站。",新疆维吾尔自治区省直辖行政单位信---2021-06-20--11-49-48.html,1,24,http://web.archive.org/web/20210623060300/https://www.lawfaq.cn/lawsite/list-20-91-16015-1.html
https://www.ydylcn.com/skwx_ydyl/multimedia/ImageDetail?SiteID=1&type=ImageTable&ID=10430519&ContentType=MultimediaImageContentType&isHost=null,2015～2016年新疆维吾尔自治区财政金融竞争力指标组排位及变化趋势_中国皮书网,2021-06-20--11-09-49,图片名称： 2015～2016年新疆<b>维吾尔</b>自治区财政金融竞争力指标组排位及变化趋势. 相关图书：中国省域经济综合竞争力发展报告（2016～2017）,2015～2016年新疆维吾尔自---2021-06-20--11-09-49.html,0,0,http://web.archive.org/web/20210622055547/https://www.ydylcn.com/skwx_ydyl/multimedia/ImageDetail?SiteID=1&type=ImageTable&ID=10430519&ContentType=MultimediaImageContentType&isHost=null
http://www.chinasydw.org/202106/188267.html,2021年新疆维吾尔自治区自然资源厅直属事业单位面向社会招聘20人公告,2021-06-20--10-26-09,新疆<b>维吾尔</b>自治区自然资源厅直属事业单位2021年面向社会公开招聘工作人员公告根据《事业单位公开招聘人员暂行规定》(人事部令6号)、《关于...,2021年新疆维吾尔自治区自然资---2021-06-20--10-26-09.html,0,1,https://web.archive.org/web/20210623070300/https://hm.baidu.com/hm.js?5c83d24df54e7c53e52d7a2ca2ca42d7
https://www.jiuyezhinan.com/2021/0620/114485.html,2021年新疆维吾尔自治区自然资源厅直属事业单位招聘公告,2021-06-20--09-18-57,2021年新疆<b>维吾尔</b>自治区自然资源厅直属事业单位招聘公告. 2021-06-20 14:30:14 作者：admin 来源：网络所在地区：新疆 浏览次数：0. 根据《事业&nbsp;...,2021年新疆维吾尔自治区自然资---2021-06-20--09-18-57.html,1,26,http://web.archive.org/web/20210622055648/https://www.jiuyezhinan.com/2021/0620/114485.html
https://www.zyccst.com/zhongyao-249-817748-279560.html,红花新疆红花新货统货产地新疆维吾尔自治区纯净干货、包质检、包含量假一陪十_中药材诚实通,2021-06-20--08-49-56,产地新疆<b>维吾尔</b>自治区红花150.00，阿呆中药材批发红花(新疆红花新货统货)最新出售报价，150.00元/新疆红花新货统货，6591，库存地安徽省亳州市&nbsp;...,红花新疆红花新货统货产地新疆维吾尔<b---2021-06-20--08-49-56.html,1,,http://web.archive.org/web/20210622055715/https://www.zyccst.com/zhongyao-249-817748-279560.html
https://zh.glosbe.com/ug/zh/%D8%B2%D8%A7%D9%8A%D9%89%D8%B1,翻译&#39;زايىر&#39; – 字典中文-维吾尔文| Glosbe,2021-06-20--07-58-57,زايىر 在中文中. <b>维吾尔</b>文-中文字典. زايىر. 翻译زايىر. 加. 刚果民主共和国. Wiktionnaire. 扎伊尔. GlosbeResearch. 显示算法生成的翻译. 机器翻译.,翻译&#39;زايىر&#39; – ---2021-06-20--07-58-57.html,1,3635,http://web.archive.org/web/20210622055749/https://zh.glosbe.com/ug/zh/%D8%B2%D8%A7%D9%8A%D9%89%D8%B1
